CropName,ScientificName,Description,PlantingSeason,HarvestSeason,GrowthDuration,SoilType,OptimalTemperatureMin,OptimalTemperatureMax,OptimalHumidityMin,OptimalHumidityMax,OptimalPrecipitationMin,OptimalPrecipitationMax,OptimalSunlightHours,FertilizersRequired,PestsAndDiseases,WateringNeeds,Replant
grano,triticum aestivum,cereale comunemente coltivato per il suo grano e utilizzato per la produzione di pane e altri alimenti,autunno,primavera,130,limoso,10.0,24.0,40.0,60.0,300.0,500.0,7.0,fosfato di azoto,peronospora della ruggine,adeguato durante la crescita,true
orzo,hordeum vulgare,cereale coltivato principalmente per la sua granella utilizzata come alimento da foraggio e nella produzione di birra,autunno,primavera,105,terriccio sabbioso ben drenato,7.0,24.0,40.0,60.0,250.0,400.0,6.0,azoto,muffa da ruggine,moderata,true
avena,avena sativa,cereale coltivato principalmente per le sementi e come mangime per animali,primavera,estate,110,limoso ben drenato,10.0,25.0,60.0,75.0,400.0,500.0,6.0,azoto fosforo,ruggine fogliare,moderata,true
farro,triticum dicoccum,grano antico usato nelle zuppe nelle insalate e come contorno,autunno,primavera,150,limoso ben drenato,8.0,18.0,50.0,70.0,300.0,600.0,6.0,fosfato azoto,ruggine,adeguato durante la crescita iniziale,true
uva,vitis vinifera,coltivata per il consumo fresco e la produzione di vino,primavera,autunno,165,limoso ben drenato,18.0,25.0,50.0,75.0,600.0,800.0,7.0,azoto fosforo,afidi della muffa,moderato,false
albicocche,prunus armeniaca,albero che produce frutti dolci e aciduli,inverno,primavera,130,sabbioso ben drenato,16.0,24.0,50.0,70.0,300.0,600.0,6.0,azoto,arricciamento fogliare da ruggine,moderata,false
pesche,prunus persica,drupe dalla polpa dolce e succosa,inverno,primavera,130,limoso ben drenato,18.0,26.0,50.0,75.0,300.0,700.0,7.0,fosfato di potassio,afidi dell'arricciamento fogliare,moderato,false
ciliegie,prunus avium,alberi da frutto che producono ciliegie dolci o amarene,inverno,primavera,150,limoso ben drenato,14.0,24.0,50.0,70.0,300.0,500.0,7.0,fosforo potassico,afidi cancheri,moderato,false
mele,malus domestica,frutto dolce e croccante usato fresco in dessert e succhi,inverno,autunno,165,limoso ben drenato,12.0,24.0,50.0,80.0,500.0,800.0,7.0,fosforo potassio,ticchiolatura afidi muffa,moderato,false
fichi,ficus carica,dolce e carnoso usato essiccato o nei dessert,primavera,autunno,100,sabbioso ben drenato,18.0,30.0,40.0,60.0,200.0,400.0,7.0,potassio azoto,nematodi muffa,basso,false
olivo,olea europaea,utilizzato principalmente per la produzione di olio e come alimento conservato,primavera,autunno,210,argilla sabbiosa ben drenata,15.0,25.0,50.0,65.0,400.0,600.0,8.0,potassio azoto,tignola dell'olivo,moderata resistenza alla siccità,false
pomodori,solanum lycopersicum,utilizzato fresco in insalate salse e piatti caldi,primavera,estate,75,ben drenato ricco di sostanze organiche,18.0,30.0,60.0,80.0,300.0,500.0,7.0,azoto potassio fosforo,afidi peronospora marciume,regolare uniforme,true
zucchina,cucurbita pepo,usata fresca in molti piatti estivi e come contorno,primavera,estate,55,ben drenata ricca di sostanza organica,20.0,30.0,60.0,80.0,300.0,500.0,7.0,azoto potassio,mosca bianca e muffa,fabbisogno idrico elevato regolare,true
cipolle,allium cepa,utilizzato fresco cotto o in sottaceti in molti piatti culinari,primavera,estate,110,limoso ben drenato,15.0,25.0,60.0,80.0,200.0,400.0,6.0,azoto fosforo,peronospora tripidi,moderato,true
asparagi,asparagus officinalis,pianta perenne spesso cotta al vapore o alla griglia,primavera,primavera,910,sabbioso ben drenato,15.0,25.0,50.0,70.0,200.0,400.0,7.0,fosforo potassio,afidi oidio,basso,true
carciofi,cynara scolymus,ortaggio popolare spesso usato fresco in insalata o cotto,autunno,primavera,165,argilla limosa ben drenata,15.0,22.0,50.0,75.0,300.0,600.0,7.0,azoto potassio,afidi muffa,moderato,false
fagioli,phaseolus vulgaris,coltivato per i suoi semi nutrienti usati ampiamente in molte cucine,primavera,estate,75,ben drenato ricco di sostanze organiche,18.0,30.0,50.0,80.0,400.0,600.0,6.0,fosforo potassio,afidi ruggine,moderato,true
ceci,cicer arietinum,legume coltivato per i suoi semi commestibili utilizzati in zuppe e salse,primavera,estate,105,sabbioso ben drenato,15.0,25.0,50.0,70.0,300.0,500.0,7.0,fosforo,afidi fusarium,basso,true
lenticchie,lens culinaris,legume ricco di proteine usato come alimento base in molte cucine,primavera,estate,95,limoso ben drenato,15.0,28.0,50.0,75.0,250.0,400.0,6.0,fosforo,afidi muffa,resistenza moderata alla siccità,true
